benchmark_number,benchmark_name,v1_structure_in_dump,v2_structure_in_dump,v1_equals_v2,matching_v2_row_count,benchmark_ids_present,example_dump_nids,example_dump_titles
1,Simple Hairpin,True,True,True,14,20111;6141752;20111;6141752,2345;15835;17095;20102;20107,The Small Hairpin - Difficulty Level 2  | The Small Hairpin - Difficulty Level 3 | The Small Hairpin - Difficulty Level 1 | Hairpin Series | Hairpin RNA 
2,Arabidopsis Thaliana 6 RNA - Difficulty Level 0,True,True,True,8,215430;6141758;215430;6141758,215430;215545;215654;215724;215758,Arabidopsis Thaliana 6 RNA - Difficulty Level 0 | Arabidopsis Thaliana 6 RNA - Difficulty Level 1 | Arabidopsis Thaliana 6 RNA - Difficulty Level 2 | Arabidopsis Thaliana 6 RNA - Difficulty Level 3 | Arabidopsis Thaliana 6 RNA - Difficulty Level 4
3,Prion Pseudoknot - Difficulty Level 0,True,True,True,9,15819;6141785;15819;6141785,15737;15819;15821;17101;1538858,Prion Pseudoknot - Difficulty Level 2 | Prion Pseudoknot - Difficulty Level 0 | Prion Pseudoknot - Difficulty Level 3 | Prion Pseudoknot - Difficulty Level 1 | Project : trial 
4,Human Integrated Adenovirus - Difficulty Level 0,True,True,True,7,15886;6145454;15886;6145454,15297;15886;15888;17083;273331,Human Integrated Adenovirus - Difficulty Level 2 | Human Integrated Adenovirus - Difficulty Level 0 | Human Integrated Adenovirus - Difficulty Level 3 | Human Integrated Adenovirus - Difficulty Level 1 | Human Integrated Adenovirus - Difficulty Level 4
5,The Gammaretrovirus Signal - Difficulty Level 0,True,True,True,3,13293612;6145456;13293612;6145456,6145456;13293612;13294238,[VRNA_2]The Alternate Eterna100: The Gammaretrovirus Signal - Difficulty Level 0 by Sneh | The Gammaretrovirus Signal - Difficulty Level 0 - Eterna100 version | GRV
6,Saccharomyces Cerevisiae - Difficulty Level 0,True,True,True,9,17811;6145460;17811;6145460,14022;17811;17812;17813;17819,Saccharomyces Cerevisiae - Difficulty Level 3   | Saccharomyces Cerevisiae - Difficulty Level 0 | Saccharomyces Cerevisiae - Difficulty Level 1 | Saccharomyces Cerevisiae - Difficulty Level 4 | Saccharomyces Cerevisiae - Difficulty Level 2
7,Fractal 2,True,True,True,4,13687;6155338;13687;6155338,13687;6155338;8938436;11578991,Fractal 2 | [VRNA_2]The Alternate Eterna100: Fractal 2 by pkinney | [NuPACK]The Alternate Eterna100: Fractal 2 by pkinney | [EFOLD] The Unaccredited Eterna100 - Fractal 2 
8,G-C Placement,True,True,True,3,1074756;6155347;1074756;6155347,1074756;6155347;8938440,G-C Placement | [VRNA_2]The Alternate Eterna100: G-C Placement by hoglahoo | [NuPACK]The Alternate Eterna100: G-C Placement by hoglahoo
9,The Sun,True,True,True,4,13840;6155382;13840;6155382,13840;6155382;8938447;11599242,The Sun | [VRNA_2]The Alternate Eterna100: The Sun by pkinney | [NuPACK]The Alternate Eterna100: The Sun by pkinney | [EFOLD]The Unaccredited Eterna100 - The Sun
10,Frog Foot,True,True,True,5,426871;6158730;426871;6158730,426871;6158730;8938463;11526491;11526862,Frog Foot | [VRNA_2]The Alternate Eterna100: Frog Foot by kmcole | [NuPACK]The Alternate Eterna100: Frog Foot by kmcole | Frog Foot | [EFOLD]Ribbit
