tag,label,group,n_samples,n_unique_seqs,perfect_pct,puzzles_solved,n_puzzles,mean_jaccard,mean_ok_score,status
orig_struct2seq_l2r_240mer,AR L→R argmax-only,AR_baseline,20032,340,14.35,5,20,0.8342,79.93,ok
orig_struct2seq_l2r_rescue_240mer,AR L→R argmax-only + rescue,AR_baseline_rescue,20137,445,14.37,7,20,0.835,79.98,ok
orig_struct2seq_strategy_topk_240mer,AR strategy: topk beam k=50,AR_per_strategy,1000,1000,17.1,5,20,0.8965,84.55,ok
orig_struct2seq_strategy_epsilon05_240mer,AR strategy: epsilon p=0.05 (K=333),AR_per_strategy,6720,6684,10.77,12,20,0.8526,80.93,ok
orig_struct2seq_strategy_topk128_240mer,AR strategy: topk beam k=128,AR_per_strategy,2560,2560,8.91,7,20,0.8912,80.76,ok
orig_struct2seq_strategy_epsilon_240mer,AR strategy: epsilon p=0.10 (K=333),AR_per_strategy,6720,6720,8.79,11,20,0.8531,81.04,ok
orig_struct2seq_strategy_qsoftmax_240mer,AR strategy: Q-softmax (K=333),AR_per_strategy,6720,6720,0.07,2,20,0.5769,72.49,ok
orig_struct2seq_4strategies_240mer,AR + 4-strategy (paper §2.7),AR_full,22720,22680,6.81,13,20,0.7756,78.45,ok
orig_struct2seq_4strategies_rescue_240mer,AR + 4-strategy + rescue,AR_full,23098,23058,6.81,16,20,0.7774,78.56,ok
orig_struct2seq_3strategies_rescue_240mer,AR + 3-strategy + rescue,AR_full,20283,20243,6.64,17,20,0.7622,78.17,ok
orig_struct2seq_3strategies_faithful_240mer,AR + faithful 3-strategy,AR_full,20160,20120,6.55,13,20,0.7609,78.15,ok
orig_struct2seq_3strategies_240mer,AR + 3-strategy (eps0.05+eps0.10+qsoftmax),AR_full,14440,14440,5.31,11,20,0.7276,77.3,ok
orig_struct2seq_motifs_structural_240mer,AR + teacher-forced motif (argmax-only),AR_inpaint,20032,6028,11.17,7,20,0.8456,80.69,ok
orig_struct2seq_motifs_structural_rescue_240mer,AR + teacher-forced motif + rescue,AR_inpaint,21142,7138,10.69,12,20,0.849,80.66,ok
