puzzle_idx,puzzle,method,mean_F1
0,P01,Struct2SeQ,0.921841577540107
0,P01,Struct2SeQ-SHAPE,0.8862712753723192
0,P01,gRNAde,0.9105113636363635
0,P01,MPNN-RFdiff,0.9149737446298168
0,P01,MPNN-fixbb,0.8751784841502583
0,P01,Rosetta,0.4571760868287565
0,P01,Ours (top-20 of K=1000),0.88529415
1,P02,Struct2SeQ,0.9512737087127331
1,P02,Struct2SeQ-SHAPE,0.9372736406646615
1,P02,gRNAde,0.7339660342830776
1,P02,MPNN-RFdiff,0.9394459883291718
1,P02,MPNN-fixbb,0.8148104383423185
1,P02,Rosetta,0.04689911123671263
1,P02,Ours (top-20 of K=1000),1.0
2,P03,Struct2SeQ,0.9301075007427814
2,P03,Struct2SeQ-SHAPE,0.8934775411556914
2,P03,gRNAde,0.9288872620470195
2,P03,MPNN-RFdiff,0.9643068989055944
2,P03,MPNN-fixbb,0.9541836580694143
2,P03,Rosetta,0.24764425844423008
2,P03,Ours (top-20 of K=1000),1.0
3,P04,Struct2SeQ,0.9601387444209688
3,P04,Struct2SeQ-SHAPE,0.9684579200498247
3,P04,gRNAde,0.9218425576326323
3,P04,MPNN-RFdiff,0.9864750687509046
3,P04,MPNN-fixbb,0.9718720320690718
3,P04,Rosetta,0.9149070880148831
3,P04,Ours (top-20 of K=1000),1.0
4,P05,Struct2SeQ,0.9898251192368839
4,P05,Struct2SeQ-SHAPE,0.9781470568312672
4,P05,gRNAde,0.9655651603020023
4,P05,MPNN-RFdiff,0.9931660231660231
4,P05,MPNN-fixbb,0.9903020667726551
4,P05,Rosetta,0.27164522651212575
4,P05,Ours (top-20 of K=1000),1.0
5,P06,Struct2SeQ,0.8732907996547279
5,P06,Struct2SeQ-SHAPE,0.9739364129608031
5,P06,gRNAde,0.9510045475289377
5,P06,MPNN-RFdiff,0.983500667647009
5,P06,MPNN-fixbb,0.8430850009898263
5,P06,Rosetta,0.7076339653240131
5,P06,Ours (top-20 of K=1000),1.0
6,P07,Struct2SeQ,0.9523308868128479
6,P07,Struct2SeQ-SHAPE,0.90551075905786
6,P07,gRNAde,0.9682666912919015
6,P07,MPNN-RFdiff,0.9744455782312927
