config,N,frac_puzzles_with_perfect,std
bidir_random,1,0.43700000000000006,0.07798076685952761
bidir_random,5,0.7210000000000001,0.060901559914340465
bidir_random,25,0.828,0.04377213725647856
bidir_random,100,0.8780000000000001,0.03340658617698014
bidir_random,500,0.922,0.024819347291981684
bidir_random,1000,0.9500000000000002,2.220446049250313e-16
orig_struct2seq_l2r,1,0.217,0.047549973711874964
orig_struct2seq_l2r,5,0.333,0.04428317965096907
orig_struct2seq_l2r,25,0.462,0.05706137047074842
orig_struct2seq_l2r,100,0.6050000000000001,0.04272001872658764
orig_struct2seq_l2r,500,0.7340000000000001,0.02905167809266791
orig_struct2seq_l2r,1000,0.75,0.0
bidir_motifs_structural,1,0.401,0.09246080250571051
bidir_motifs_structural,5,0.7140000000000002,0.060033324079214544
bidir_motifs_structural,25,0.8409999999999997,0.029478805945967336
bidir_motifs_structural,100,0.8680000000000001,0.03280243893371345
bidir_motifs_structural,500,0.9100000000000001,0.026457513110645887
bidir_motifs_structural,1000,0.9500000000000002,2.220446049250313e-16
orig_struct2seq_motifs_structural,1,0.3340000000000001,0.07578918128598566
orig_struct2seq_motifs_structural,5,0.5840000000000001,0.05953150426454886
orig_struct2seq_motifs_structural,25,0.7440000000000001,0.053516352641038635
orig_struct2seq_motifs_structural,100,0.819,0.038587562763149466
orig_struct2seq_motifs_structural,500,0.897,0.036619666847201096
orig_struct2seq_motifs_structural,1000,0.9500000000000002,2.220446049250313e-16
