config,N,frac_puzzles_with_perfect,std
bidir_random_240mer,1,0.33899999999999997,0.06876772498781678
bidir_random_240mer,5,0.521,0.03330165161069344
bidir_random_240mer,25,0.565,0.026925824035672494
bidir_random_240mer,100,0.6,0.03316624790355399
bidir_random_240mer,500,0.6459999999999999,0.01356465996625055
bidir_random_240mer,1000,0.65,0.0
orig_struct2seq_l2r_240mer,1,0.146,0.024166091947189144
orig_struct2seq_l2r_240mer,5,0.16999999999999996,0.02645751311064591
orig_struct2seq_l2r_240mer,25,0.19599999999999995,0.01959591794226543
orig_struct2seq_l2r_240mer,100,0.21099999999999994,0.020712315177207976
orig_struct2seq_l2r_240mer,500,0.24199999999999997,0.018330302779823355
orig_struct2seq_l2r_240mer,1000,0.25,0.0
bidir_motifs_structural_240mer,1,0.259,0.0798060148109151
bidir_motifs_structural_240mer,5,0.47100000000000003,0.05008991914547278
bidir_motifs_structural_240mer,25,0.5640000000000001,0.026532998322843174
bidir_motifs_structural_240mer,100,0.597,0.03522782990761707
bidir_motifs_structural_240mer,500,0.648,0.009797958971132722
bidir_motifs_structural_240mer,1000,0.65,0.0
orig_struct2seq_motifs_structural_240mer,1,0.114,0.0424735211631906
orig_struct2seq_motifs_structural_240mer,5,0.17800000000000002,0.02856571371417141
orig_struct2seq_motifs_structural_240mer,25,0.21199999999999997,0.021354156504062617
orig_struct2seq_motifs_structural_240mer,100,0.245,0.036400549446402586
orig_struct2seq_motifs_structural_240mer,500,0.32099999999999995,0.028442925306655778
orig_struct2seq_motifs_structural_240mer,1000,0.3500000000000001,1.1102230246251565e-16
orig_struct2seq_3strategies_rescue_240mer,1,0.067,0.05060632371551998
orig_struct2seq_3strategies_rescue_240mer,5,0.17700000000000002,0.04712748667179272
orig_struct2seq_3strategies_rescue_240mer,25,0.26999999999999996,0.059160797830996155
orig_struct2seq_3strategies_rescue_240mer,100,0.43599999999999994,0.06406246951218787
orig_struct2seq_3strategies_rescue_240mer,500,0.7360000000000001,0.053888774341229934
orig_struct2seq_3strategies_rescue_240mer,1000,0.8,0.04242640687119285
